source,method,path,description,params
Census,GET,/census/acs,"Raw American Community Survey query — any ACS variables and geography (state / county / tract). Use for: demographics, race, age, sex, education, income, poverty, housing, commute — any ACS table by variable code.","year (query, integer, required); variables (query, string, default NAME,B01001_001E); geo_for (query, string, default state:*); geo_in (query, string); dataset (query, string, default acs5)"
Census,GET,/census/income,Median household income by US state.,"year (query, integer, required)"
Census,GET,/census/population,Population by US state.,"year (query, integer, required)"
BLS,POST,/bls/batch,"BLS multi-series batch (POST, registrationkey added when set)",
BLS,GET,/bls/{series_id},"US labor statistics series by ID. Use for: unemployment rate, nonfarm payroll employment, CPI inflation, PPI, average hourly earnings. Shortcut IDs: unemployment, cpi, nonfarm_employment, ppi, hourly_earnings.","series_id (path, string, required); start_year (query, integer, required); end_year (query, integer, required)"
Treasury,GET,/treasury/debt,"US national / public debt (debt to the penny): total outstanding, debt held by the public, intragovernmental holdings, by date.","limit (query, integer, default 5, max 100)"
Treasury,GET,/treasury/exchange,US Treasury reporting exchange rates (foreign-currency conversion rates used by the government).,"limit (query, integer, default 5, max 100)"
Treasury,GET,/treasury/rates,Average interest rates on outstanding US Treasury securities.,"limit (query, integer, default 5, max 100)"
FEC,GET,/fec/candidates,"Search federal candidates (President, Senate, House) by office and state. Campaign finance.","office (query, string); state (query, string); limit (query, integer, default 10, max 100); page (query, integer, default 1)"
FEC,GET,/fec/contributions,Campaign contributions — itemized donations by or for a candidate or donor name.,"name (query, string); candidate_id (query, string); limit (query, integer, default 10, max 100); page (query, integer, default 1)"
FEC,GET,/fec/totals,"Candidate financial totals (money raised / receipts), ranked, by office and election year.","year (query, integer, required); office (query, string, default P); limit (query, integer, default 10, max 100); page (query, integer, default 1)"
Congress,GET,/congress/bill/{congress_num}/{bill_type}/{number},"Full detail for one bill: sponsors, actions, latest status, summary.","congress_num (path, integer, required); bill_type (path, string, required); number (path, integer, required)"
Congress,GET,/congress/bills,Recent bills introduced in Congress. Legislation tracking.,"limit (query, integer, default 10, max 250); congress_num (query, integer, default 0); offset (query, integer, default 0)"
Congress,GET,/congress/members,"Members of Congress (representatives and senators), with party and state.","limit (query, integer, default 10, max 250); offset (query, integer, default 0)"
Congress,GET,/congress/votes,Roll-call votes by chamber and session.,"congress_session (query, integer, default 118); limit (query, integer, default 10, max 250); offset (query, integer, default 0)"
FDA,GET,/fda/drug-events,"Drug adverse-event reports (side effects, reactions) from openFDA / FAERS.","search (query, string); limit (query, integer, default 10, max 100)"
FDA,GET,/fda/drug-recalls,"Drug recall enforcement reports — recalled medications, reasons, recall class.","search (query, string); limit (query, integer, default 10, max 100)"
FDA,GET,/fda/food-recalls,"Food recall enforcement reports — recalled foods, contamination, allergens, reasons.","search (query, string); limit (query, integer, default 10, max 100)"
Clinical Trials,GET,/clinical-trials,"Search ClinicalTrials.gov by condition, intervention, and status (recruiting, completed). Medical and drug trials.","condition (query, string); intervention (query, string); status (query, string); limit (query, integer, default 10, max 100)"
Clinical Trials,GET,/clinical-trials/{nct_id},Full record for one clinical trial by its NCT ID.,"nct_id (path, string, required)"
EIA,GET,/eia,List the EIA energy datasets available to query.,
EIA,GET,/eia/electricity,"Electricity data: generation, retail sales, and prices.","limit (query, integer, default 10, max 100); data_field (query, string, default revenue); frequency (query, string, default annual)"
EIA,GET,/eia/gas-prices,Gasoline and fuel prices over time.,"limit (query, integer, default 10, max 100)"
EIA,GET,/eia/{route},"Generic EIA dataset query by route path — any energy series (crude oil, natural gas, coal, renewables, CO2 emissions, consumption).","route (path, string, required); frequency (query, string, default annual); data (query, string, default value); limit (query, integer, default 10, max 5000); offset (query, integer, default 0); sort_col (query, string, default period); sort_dir (query, string, default desc)"
FEMA,GET,/fema/disasters,"Federal disaster declarations (hurricanes, floods, wildfires, severe storms) by date and state.","limit (query, integer, default 10, max 1000); state (query, string); declared_since (query, string)"
FEMA,GET,/fema/flood-claims,NFIP (National Flood Insurance Program) flood insurance claims data.,"limit (query, integer, default 10, max 1000)"
FEMA,GET,/fema/grants,FEMA grant and assistance awards.,"limit (query, integer, default 10, max 1000)"
Federal Register,GET,/federal-register,"Search the Federal Register: proposed and final rules, notices, executive orders, and presidential documents; filter by type and agency.","term (query, string); doc_type (query, string); agency (query, string); limit (query, integer, default 10, max 100)"
Federal Register,GET,/federal-register/{doc_number},One Federal Register document by its document number.,"doc_number (path, string, required)"
House Disclosures,GET,/house-disclosures/candidates,US House candidates' financial disclosures.,"last_name (query, string); year (query, string); state (query, string); district (query, string)"
House Disclosures,GET,/house-disclosures/members,US House members' financial disclosures — congressional stock trades and holdings.,"last_name (query, string); year (query, string); state (query, string); district (query, string)"
House Disclosures,GET,/house-disclosures/pdf,Fetch a disclosure PDF by path,"path (query, string, required)"
NARA,GET,/nara/record/{na_id},One National Archives catalog record by its National Archives Identifier (NAID).,"na_id (path, string, required)"
NARA,GET,/nara/search,Search the US National Archives Catalog — historical government records across all record groups and the 14 presidential libraries.,"q (query, string); page (query, integer, default 1); available_online (query, boolean, default False); type_of_materials (query, string); level_of_description (query, string)"
NSArchive,GET,/nsarchive/document/{doc_id},One declassified Virtual Reading Room document by its id-slug.,"doc_id (path, string, required)"
NSArchive,GET,/nsarchive/search,"Search the National Security Archive (GWU NGO) Virtual Reading Room — declassified documents on foreign policy, intelligence, and defense.","q (query, string); page (query, integer, default 1); field_date_min (query, string); field_date_max (query, string); searched_fields (query, string)"
CIA,GET,/cia/collection/{slug},A reading-room collection's documents,"slug (path, string, required); page (query, integer, default 0)"
CIA,GET,/cia/collections,Famous reading-room collections (curated registry),
CIA,GET,/cia/document/{doc_path},Single reading-room document,"doc_path (path, string, required)"
FRUS,GET,/frus/document/{volume}/{doc},Single FRUS document,"volume (path, string, required); doc (path, integer, required)"
FRUS,GET,/frus/search,Search FRUS (history.state.gov),"q (query, string, required); start (query, integer, default 1)"
TNA,GET,/tna/record/{record_id},Single Discovery record's details,"record_id (path, string, required)"
TNA,GET,/tna/search,Search UK National Archives Discovery,"q (query, string, required); page (query, integer, default 1); per_page (query, integer, default 20, max 100); series (query, string)"
Vault,GET,/vault/page/{path},"One Vault page (subject, folder or file)","path (path, string, required)"
Vault,GET,/vault/subjects,Famous FBI Vault subjects (curated registry),
FAS,GET,/fas/index/{path},An IRP index page's links,"path (path, string, required)"
FAS,GET,/fas/page/{path},An IRP content page's full text,"path (path, string, required)"
FAS,GET,/fas/sections,Verified IRP sections (curated registry),
Smithsonian,GET,/smithsonian/category/{category}/search,"Search within a Smithsonian category: art_design, history_culture, or science_technology.","category (path, string, required); q (query, string); start (query, integer, default 0); rows (query, integer, default 10, max 100); sort (query, string); obj_type (query, string)"
Smithsonian,GET,/smithsonian/object/{object_id},Full metadata record for one Smithsonian object by EDAN id.,"object_id (path, string, required)"
Smithsonian,GET,/smithsonian/search,"Search Smithsonian Open Access — 11M+ museum, library, and archive objects (art, history, science specimens, photographs).","q (query, string); start (query, integer, default 0); rows (query, integer, default 10, max 100); sort (query, string); obj_type (query, string)"
Smithsonian,GET,/smithsonian/stats,"Smithsonian Open Access dataset statistics (counts by unit, type, etc.).",
Smithsonian,GET,/smithsonian/terms/{category},"Controlled-vocabulary terms for a facet: culture, topic, place, object_type, data_source, date, or name.","category (path, string, required)"
Wilson Center,GET,/wilson/document/{slug},"One Wilson Center document by slug: title, source, subjects, download availability.","slug (path, string, required)"
Wilson Center,GET,/wilson/documents,"Full-text search the Wilson Center Digital Archive (local mirror) — 16,756 declassified Cold War and international-history documents.","q (query, string); page (query, integer, default 1); items_per_page (query, integer, default 10, max 100)"
arXiv,GET,/arxiv/search,"Full-text search arXiv.org scientific preprints (physics, math, computer science, machine learning/AI, quantitative biology, economics, statistics). Use for: academic papers, research preprints, scientific literature by topic/author/title. sort_by relevance|lastUpdatedDate|submittedDate; page with start (max_results le 100).","query (query, string, required); start (query, integer, default 0); max_results (query, integer, default 10, max 100); sort_by (query, string, default relevance); sort_order (query, string, default descending)"
arXiv,GET,/arxiv/{arxiv_id},"Fetch one or more arXiv papers by arXiv id (e.g. 2301.00001; comma-separated for several): title, authors, abstract, categories, PDF link, DOI.","arxiv_id (path, string, required)"
Scholar,GET,/scholar/search,"Search Google Scholar and rank papers by citation count (scholarly literature across all publishers, not just arXiv). Use for: most-cited papers on a topic, citation counts, academic impact. BRITTLE — Google blocks automated access (CAPTCHA/429), so this often returns an error rather than data.","keyword (query, string, required); nresults (query, integer, default 20, max 100); sort_by (query, string, default Citations); start_year (query, integer); end_year (query, integer)"
Trending,GET,/trending,List available trending-board ids,
Trending,GET,/trending/{source_id},One trending board — ranked title+URL items,"source_id (path, string, required); latest (query, boolean, default True)"
World Bank,GET,/worldbank/countries,"List all countries (region, income level)","per_page (query, integer, default 300, max 400)"
World Bank,GET,/worldbank/{indicator},One indicator across countries,"indicator (path, string, required); countries (query, string, default all); date_range (query, string); per_page (query, integer, default 200, max 1000)"
IMF,GET,/imf/structure/{dataset},IMF dataset metadata (dimensions + code lists),"dataset (path, string, required)"
IMF,GET,/imf/{dataset}/{key},IMF time series (via DBnomics; latest vintage),"dataset (path, string, required); key (path, string, required); limit (query, integer, default 100)"
Eurostat,GET,/eurostat/{dataset},Eurostat dataset (JSON-stat) with dimension filters,"dataset (path, string, required)"
ECB,GET,/ecb/{flow_ref}/{key},SDMX series from an ECB dataflow,"flow_ref (path, string, required); key (path, string, required); start_period (query, string); end_period (query, string)"
Comtrade,GET,/comtrade,"Global goods-trade flows (keyless preview, ≤500 records)","reporterCode (query, string); period (query, string); partnerCode (query, string); cmdCode (query, string); flowCode (query, string)"
UCDP,GET,/ucdp/gedevents,Georeferenced conflict events (GED),"country (query, string); start_date (query, string); end_date (query, string); pagesize (query, integer, default 10, max 1000); page (query, integer, default 0); version (query, string, default 24.1)"
USGS,GET,/usgs/earthquakes,Worldwide earthquake catalog (GeoJSON),"starttime (query, string); endtime (query, string); minmagnitude (query, number, default 0.0); orderby (query, string, default time); limit (query, integer, default 10, max 1000)"
NWS,GET,/nws/alerts,Active US weather alerts,"area (query, string); severity (query, string)"
EONET,GET,/eonet/categories,EONET event categories,
EONET,GET,/eonet/events,"Global natural events (wildfires, storms, volcanoes)","category (query, string); status (query, string, default open); limit (query, integer, default 10, max 1000); days (query, integer, default 0)"
Wikipedia,GET,/wikipedia/pageviews/{title},Daily pageview counts for an article,"title (path, string, required); start (query, string, required); end (query, string, required)"
Wikipedia,GET,/wikipedia/search,Full-text article search,"q (query, string, required); limit (query, integer, default 10, max 50)"
Wikipedia,GET,/wikipedia/summary/{title},Page summary (lead section),"title (path, string, required)"
NASA Images,GET,/nasa/asset/{nasa_id},"All downloadable renditions for one NASA asset — direct file URLs (mp4 in several sizes, srt captions, thumbnails) under collection.items[].href.","nasa_id (path, string, required)"
NASA Images,GET,/nasa/search,"Search the NASA Image and Video Library (images.nasa.gov) — public-domain space and science videos, images, and audio: launches, missions (Apollo, Artemis, ISS), planets, astronauts, Earth observation. media_type video|image|audio (default video); each hit's data[].nasa_id feeds /nasa/asset. Credit 'NASA'.","q (query, string, required); media_type (query, string, default video); year_start (query, string); year_end (query, string); page (query, integer, default 1); page_size (query, integer, default 10, max 100)"
Internet Archive,GET,/archive/item/{identifier},One Internet Archive item's full metadata incl. files[] with direct download paths — fetch a file as https://archive.org/download/{identifier}/{file.name}; license in metadata.licenseurl.,"identifier (path, string, required)"
Internet Archive,GET,/archive/search,"Search the Internet Archive (archive.org) — archival films, newsreels, public-domain footage (prelinger, newsreels collections), old TV and movies. Free-text q is scoped to mediatype:movies unless q sets mediatype:. Returns identifier/title/year/licenseurl/mediatype per doc; license is PER ITEM — check licenseurl.","q (query, string, required); rows (query, integer, default 10, max 50); page (query, integer, default 1)"
Commons,GET,/commons/search,"Search Wikimedia Commons video files — free/CC-licensed clips (nature, cities, events, science). Each page carries imageinfo[0].url (direct file URL), size, mime, and extmetadata with LicenseShortName (CC-BY / CC-BY-SA / PD) and Artist — credit per file.","q (query, string, required); limit (query, integer, default 10, max 50)"
Cross-Reference,GET,/cross-reference/company/{name},Aggregate a company across EDGAR + USAspending + FEC in one call: SEC filings + federal contracts + political contributions.,"name (path, string, required)"
Cross-Reference,GET,/cross-reference/politician/{last_name},Aggregate a politician across House disclosures + FEC: stock trades + campaign finance.,"last_name (path, string, required); first_name (query, string)"
Admin,POST,/admin/clear-cache,Clear the in-memory cache (operational endpoint).,
